Date,Demand,RRP,pDemand,pRRP,nDemand,nRRP,FracNegative,Minimum Temperature,Maximum Temperature,SchoolDay,Holiday
2015-01-01,99635.03000000001,25.63369643387471,97319.24000000002,25.801973791747738,2315.79,-0.16827735787302917,0.020833334,13.3,26.9,N,Y
2015-01-02,129606.00999999997,33.13898756122499,121082.01499999997,36.2833656332758,8523.994999999999,-3.1443780720508263,0.0625,15.4,38.8,N,N
2015-01-03,142300.53999999998,34.56485482908218,142300.53999999998,34.56485482908218,0.0,0.0,0.0,20.0,38.2,N,N
2015-01-04,104330.71500000001,25.00556023842067,104330.71500000001,25.00556023842067,0.0,0.0,0.0,16.3,21.4,N,N
2015-01-05,118132.19999999995,26.72417627793271,118132.19999999995,26.72417627793271,0.0,0.0,0.0,15.0,22.0,N,N
2015-01-06,130672.48499999996,31.282310728612853,130672.48499999996,31.282310728612853,0.0,0.0,0.0,17.7,26.0,N,N
2015-01-07,153514.82,48.31230937899024,149498.715,48.34108650617575,4016.105,-0.028777127185505607,0.020833334,18.9,37.4,N,N
2015-01-08,142015.65500000003,49.11728029878114,142015.65500000003,49.11728029878114,0.0,0.0,0.0,23.1,28.2,N,N
2015-01-09,121801.15499999998,34.49067545459648,121801.15499999998,34.49067545459648,0.0,0.0,0.0,16.5,18.0,N,N
2015-01-10,103043.66000000003,20.229824895097856,103043.66000000003,20.229824895097856,0.0,0.0,0.0,13.6,21.7,N,N
2015-01-11,99865.75499999999,18.234768060382667,99865.75499999999,18.234768060382667,0.0,0.0,0.0,15.6,27.5,N,N
2015-01-12,131261.12500000003,33.69481017437569,131261.12500000003,33.69481017437569,0.0,0.0,0.0,16.1,31.3,N,N
2015-01-13,126527.35999999997,27.537864268645148,126527.35999999997,27.537864268645148,0.0,0.0,0.0,20.2,25.6,N,N
2015-01-14,119741.62,29.018516605170355,119741.62,29.018516605170355,0.0,0.0,0.0,18.3,22.7,N,N
2015-01-15,118411.21999999997,30.93653879252322,118411.21999999997,30.93653879252322,0.0,0.0,0.0,15.8,20.0,N,N
2015-01-16,116690.76499999997,23.015190876930156,116690.76499999997,23.015190876930156,0.0,0.0,0.0,13.1,27.3,N,N
2015-01-17,99371.31,18.994927292394557,99371.31,18.994927292394557,0.0,0.0,0.0,15.9,25.0,N,N
2015-01-18,97728.74999999999,17.008680881521563,95473.965,20.429316304567493,2254.785,-3.4206354230459306,0.020833334,15.3,19.5,N,N
2015-01-19,116883.14999999998,26.92787619387397,116883.14999999998,26.92787619387397,0.0,0.0,0.0,13.5,23.6,N,N
2015-01-20,128968.12500000001,23.078074137698756,128968.12500000001,23.078074137698756,0.0,0.0,0.0,13.0,30.4,N,N
2015-01-21,148702.505,34.44341545994803,148702.505,34.44341545994803,0.0,0.0,0.0,19.7,33.1,N,N
2015-01-22,153232.1,35.230761404105266,153232.1,35.230761404105266,0.0,0.0,0.0,18.7,35.8,N,N
2015-01-23,138095.19999999998,40.60420021586557,138095.19999999998,40.60420021586557,0.0,0.0,0.0,20.2,25.0,N,N
2015-01-24,116310.58999999998,20.922000145472573,116310.58999999998,20.922000145472573,0.0,0.0,0.0,15.8,26.3,N,N
2015-01-25,97959.46000000004,16.541417703813387,97959.46000000004,16.541417703813387,0.0,0.0,0.0,14.7,22.0,N,N
2015-01-26,103769.48000000003,16.936012803090073,103769.48000000003,16.936012803090073,0.0,0.0,0.0,11.6,19.8,N,Y
2015-01-27,118393.31000000001,21.20628859561405,118393.31000000001,21.20628859561405,0.0,0.0,0.0,11.7,19.1,N,N
2015-01-28,116763.72499999998,17.02383823700383,116763.72499999998,17.02383823700383,0.0,0.0,0.0,13.3,25.4,N,N
2015-01-29,119313.73000000001,19.624827355577604,119313.73000000001,19.624827355577604,0.0,0.0,0.0,12.8,22.2,Y,N
2015-01-30,121018.15000000001,21.02935608212487,121018.15000000001,21.02935608212487,0.0,0.0,0.0,13.1,21.0,Y,N
2015-01-31,103822.96999999999,16.538846727752063,103822.96999999999,16.538846727752063,0.0,0.0,0.0,14.3,20.2,Y,N
2015-02-01,100178.84,14.578844423632775,100178.84,14.578844423632775,0.0,0.0,0.0,13.2,19.0,Y,N
2015-02-02,118694.15999999997,22.27003219492855,118694.15999999997,22.27003219492855,0.0,0.0,0.0,13.5,21.1,Y,N
2015-02-03,122880.12999999999,27.003832325454095,122880.12999999999,27.003832325454095,0.0,0.0,0.0,16.1,20.0,Y,N
2015-02-04,117398.03000000003,27.809134200122433,117398.03000000003,27.809134200122433,0.0,0.0,0.0,14.8,19.0,Y,N
2015-02-05,122279.42500000003,31.384570737472803,122279.42500000003,31.384570737472803,0.0,0.0,0.0,13.3,24.2,Y,N
2015-02-06,141837.005,38.840180270303925,141837.005,38.840180270303925,0.0,0.0,0.0,14.5,35.7,Y,N
2015-02-07,132138.36500000002,28.761706782507872,132138.36500000002,28.761706782507872,0.0,0.0,0.0,18.8,35.0,Y,N
2015-02-08,112108.215,23.974106604498168,112108.215,23.974106604498168,0.0,0.0,0.0,18.9,21.5,Y,N
2015-02-09,126813.07500000004,28.90913470554987,126813.07500000004,28.90913470554987,0.0,0.0,0.0,13.6,28.3,Y,N
2015-02-10,145948.56499999997,37.522599975546186,145948.56499999997,37.522599975546186,0.0,0.0,0.0,16.4,27.8,Y,N
2015-02-11,149322.85,32.655454296177695,149322.85,32.655454296177695,0.0,0.0,0.0,18.1,26.8,Y,N
2015-02-12,131376.78000000003,26.57663493617365,131376.78000000003,26.57663493617365,0.0,0.0,0.0,17.8,21.9,Y,N
2015-02-13,136070.62,18.736970611657384,133078.54,25.74403953513256,2992.08,-7.007068923475178,0.020833334,16.1,32.4,Y,N
2015-02-14,119692.025,20.240103231188545,119692.025,20.240103231188545,0.0,0.0,0.0,19.0,25.1,Y,N
2015-02-15,125287.70999999998,24.584186941001636,125287.70999999998,24.584186941001636,0.0,0.0,0.0,18.2,34.4,Y,N
2015-02-16,131832.62999999998,31.94904060208767,131832.62999999998,31.94904060208767,0.0,0.0,0.0,17.4,24.6,Y,N
2015-02-17,127666.01,30.250149385494236,127666.01,30.250149385494236,0.0,0.0,0.0,17.6,20.6,Y,N
2015-02-18,125972.765,30.235792750917238,125972.765,30.235792750917238,0.0,0.0,0.0,17.7,21.2,Y,N
2015-02-19,139399.68999999997,33.59896067918086,139399.68999999997,33.59896067918086,0.0,0.0,0.0,18.2,26.9,Y,N
2015-02-20,139465.675,33.538671531902025,139465.675,33.538671531902025,0.0,0.0,0.0,17.4,25.3,Y,N
2015-02-21,136283.03,31.25281983934463,136283.03,31.25281983934463,0.0,0.0,0.0,18.1,36.1,Y,N
2015-02-22,138016.34999999998,32.40972720732,138016.34999999998,32.40972720732,0.0,0.0,0.0,20.3,35.3,Y,N
2015-02-23,135255.815,28.41722912763491,132597.755,31.40238221698638,2658.06,-2.9851530893514635,0.020833334,21.1,29.3,Y,N
2015-02-24,120263.51499999997,26.559011897748046,120263.51499999997,26.559011897748046,0.0,0.0,0.0,15.9,20.1,Y,N
2015-02-25,130062.75499999998,33.323249587093564,130062.75499999998,33.323249587093564,0.0,0.0,0.0,14.0,27.0,Y,N
2015-02-26,131525.85499999998,39.0865783438549,131525.85499999998,39.0865783438549,0.0,0.0,0.0,16.0,23.2,Y,N
2015-02-27,131069.4,36.33901155418428,131069.4,36.33901155418428,0.0,0.0,0.0,14.8,24.3,Y,N
2015-02-28,116275.73000000001,25.1431307255607,116275.73000000001,25.1431307255607,0.0,0.0,0.0,17.9,32.3,Y,N
2015-03-01,103462.78,24.58614814573898,103462.78,24.58614814573898,0.0,0.0,0.0,15.2,20.8,Y,N
2015-03-02,123301.83499999999,33.1665262325577,123301.83499999999,33.1665262325577,0.0,0.0,0.0,11.6,23.0,Y,N
2015-03-03,126750.29,43.739457138914645,126750.29,43.739457138914645,0.0,0.0,0.0,15.5,22.7,Y,N
2015-03-04,120764.18499999997,37.252483909447164,120764.18499999997,37.252483909447164,0.0,0.0,0.0,15.4,23.5,Y,N
2015-03-05,114967.34499999999,25.322828102188502,114967.34499999999,25.322828102188502,0.0,0.0,0.0,12.6,18.6,Y,N
2015-03-06,117053.75,27.750521691103444,117053.75,27.750521691103444,0.0,0.0,0.0,14.1,21.1,Y,N
2015-03-07,108344.57500000001,22.113214538429816,108344.57500000001,22.113214538429816,0.0,0.0,0.0,15.4,22.6,Y,N
2015-03-08,106348.78000000003,20.574434125149338,106348.78000000003,20.574434125149338,0.0,0.0,0.0,16.2,24.4,Y,N
2015-03-09,108282.48000000001,23.808068267830585,108282.48000000001,23.808068267830585,0.0,0.0,0.0,14.4,23.8,Y,Y
2015-03-10,125828.53,31.763749182717145,125828.53,31.763749182717145,0.0,0.0,0.0,16.2,21.7,Y,N
2015-03-11,124418.41500000002,33.596492876074656,124418.41500000002,33.596492876074656,0.0,0.0,0.0,11.2,23.8,Y,N
2015-03-12,121683.65000000002,26.040505892122734,121683.65000000002,26.040505892122734,0.0,0.0,0.0,13.0,19.9,Y,N
2015-03-13,120929.81500000002,24.19536323155708,120929.81500000002,24.19536323155708,0.0,0.0,0.0,14.4,20.4,Y,N
2015-03-14,108738.81999999999,17.394529560372277,108738.81999999999,17.394529560372277,0.0,0.0,0.0,9.4,30.1,Y,N
2015-03-15,100170.29500000003,14.37309940037612,100170.29500000003,14.37309940037612,0.0,0.0,0.0,13.1,18.3,Y,N
2015-03-16,123787.07500000001,22.660799933676433,123787.07500000001,22.660799933676433,0.0,0.0,0.0,10.5,25.5,Y,N
2015-03-17,125600.86,21.385569471817313,125600.86,21.385569471817313,0.0,0.0,0.0,13.0,26.2,Y,N
2015-03-18,127975.815,24.438637728542698,127975.815,24.438637728542698,0.0,0.0,0.0,17.8,24.4,Y,N
2015-03-19,128319.44999999995,24.568240975160048,128319.44999999995,24.568240975160048,0.0,0.0,0.0,16.5,33.5,Y,N
2015-03-20,119491.32,24.06816285358635,119491.32,24.06816285358635,0.0,0.0,0.0,14.2,19.6,Y,N
2015-03-21,106754.8,20.47371461376912,106754.8,20.47371461376912,0.0,0.0,0.0,11.9,22.7,Y,N
2015-03-22,106555.02999999997,18.918695590438112,106555.02999999997,18.918695590438112,0.0,0.0,0.0,11.3,28.8,Y,N
2015-03-23,122810.05,26.685627977514873,122810.05,26.685627977514873,0.0,0.0,0.0,13.6,27.0,Y,N
2015-03-24,123234.93499999998,34.05849946121204,123234.93499999998,34.05849946121204,0.0,0.0,0.0,12.6,15.3,Y,N
2015-03-25,122268.86,28.548754244539452,122268.86,28.548754244539452,0.0,0.0,0.0,13.0,20.4,Y,N
2015-03-26,121998.20000000001,21.97136289674765,121998.20000000001,21.97136289674765,0.0,0.0,0.0,9.8,18.0,Y,N
2015-03-27,122346.33499999996,25.771600378957007,122346.33499999996,25.771600378957007,0.0,0.0,0.0,11.6,18.1,N,N
2015-03-28,112187.71499999997,29.271368692641616,112187.71499999997,29.271368692641616,0.0,0.0,0.0,12.7,19.1,N,N
2015-03-29,106418.66500000001,24.672716351027333,106418.66500000001,24.672716351027333,0.0,0.0,0.0,8.5,22.7,N,N
2015-03-30,123061.87,33.75036270251704,123061.87,33.75036270251704,0.0,0.0,0.0,10.6,23.1,N,N
2015-03-31,125795.32499999998,31.83656958277266,125795.32499999998,31.83656958277266,0.0,0.0,0.0,11.2,25.3,N,N
